dt,channel,username,message
2022-03-12_22:49:54,m0ng0n,m0ng0n,!amogus m0ng0n
2022-03-12_22:50:56,m0ng0n,m0ng0n,!amoguscount
2022-03-12_22:50:56,m0ng0n,streamelements,"m0ng0n has said ""amogus"" {number} times, ""sussy"" {number} times, and ""baka"" {number} times."
2022-03-12_22:54:11,m0ng0n,m0ng0n,!amoguscount
2022-03-12_22:54:12,m0ng0n,streamelements,"m0ng0n has said ""amogus"" {customapi.https://www.pythonanywhere.com/amogus} times, ""sussy"" {customapi.https://www.pythonanywhere.com/sus} times, and ""baka"" {customapi.https://www.pythonanywhere.com/baka} times."
2022-03-12_22:54:41,m0ng0n,m0ng0n,!amoguscount
2022-03-12_22:54:42,m0ng0n,streamelements,"m0ng0n has said ""amogus"" <!DOCTYPE html><html lang=""en"" style=""height: 100%"">    <head>        <meta charset=""utf-8"">        <title>Page not found: PythonAnywhere</title>        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">        <meta name=""description"" content=""Page not found: PythonAnywhere"">        <meta name=""author"" content=""PythonAnywhere LLP"">        <meta name=""google-site-verif times, ""sussy"" <!DOCTYPE html><html lang=""en"" style=""height: 100%"">    <head>"
2022-03-12_22:54:42,m0ng0n,streamelements,"<meta charset=""utf-8"">        <title>Page not found: PythonAnywhere</title>        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">        <meta name=""description"" content=""Page not found: PythonAnywhere"">        <meta name=""author"" content=""PythonAnywhere LLP"">        <meta name=""google-site-verif times, and ""baka"" <!DOCTYPE html><html lang=""en"" style=""height: 100%"">    <head>        <meta charset=""utf-8"">        <title>Page not found: PythonAnywhere</title>"
2022-03-12_22:54:42,m0ng0n,streamelements,"<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">        <meta name=""description"" content=""Page not found: PythonAnywhere"">        <meta name=""author"" content=""PythonAnywhere LLP"">        <meta name=""google-site-verif times."
2022-03-12_22:55:57,m0ng0n,m0ng0n,!amoguscount
2022-03-12_22:55:58,m0ng0n,streamelements,"m0ng0n has said ""amogus"" <!DOCTYPE html><html lang=""en"" style=""height: 100%"">    <head>        <meta charset=""utf-8"">        <title>Page not found: PythonAnywhere</title>        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">        <meta name=""description"" content=""Page not found: PythonAnywhere"">        <meta name=""author"" content=""PythonAnywhere LLP"">        <meta name=""google-site-verif times, ""sussy"" <!DOCTYPE html><html lang=""en"" style=""height: 100%"">    <head>"
2022-03-12_22:55:58,m0ng0n,streamelements,"<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">        <meta name=""description"" content=""Page not found: PythonAnywhere"">        <meta name=""author"" content=""PythonAnywhere LLP"">        <meta name=""google-site-verif times."
2022-03-12_22:55:58,m0ng0n,streamelements,"<meta charset=""utf-8"">        <title>Page not found: PythonAnywhere</title>        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">        <meta name=""description"" content=""Page not found: PythonAnywhere"">        <meta name=""author"" content=""PythonAnywhere LLP"">        <meta name=""google-site-verif times, and ""baka"" <!DOCTYPE html><html lang=""en"" style=""height: 100%"">    <head>        <meta charset=""utf-8"">        <title>Page not found: PythonAnywhere</title>"
2022-03-12_22:57:39,m0ng0n,m0ng0n,!amoguscount
2022-03-12_22:57:40,m0ng0n,streamelements,"m0ng0n has said ""amogus"" 6 times, ""sussy"" 9 times, and ""baka"" 0 times."
2022-03-12_22:57:46,m0ng0n,m0ng0n,baka
2022-03-12_22:57:49,m0ng0n,m0ng0n,!amoguscount
2022-03-12_22:57:49,m0ng0n,streamelements,"m0ng0n has said ""amogus"" 6 times, ""sussy"" 9 times, and ""baka"" 1 times."
2022-03-13_19:58:15,m0ng0n,m0ng0n,!wordcount m0ng0n chat
2022-03-13_19:58:15,m0ng0n,streamelements,m0ng0n has said chat 1 times!
2022-03-13_19:58:21,m0ng0n,m0ng0n,chat
2022-03-13_19:58:33,m0ng0n,m0ng0n,!wordcount m0ng0n chat
2022-03-13_19:58:33,m0ng0n,streamelements,m0ng0n has said chat 3 times!
2022-03-13_20:12:46,m0ng0n,m0ng0n,chat
2022-03-13_20:12:55,m0ng0n,m0ng0n,!wordcount m0ng0n chat
2022-03-13_20:12:55,m0ng0n,streamelements,m0ng0n has said chat 5 times!
2022-03-13_20:22:27,m0ng0n,m0ng0n,!wordcount m0ng0n chat
2022-03-13_20:22:28,m0ng0n,streamelements,m0ng0n has said chat 6 times!
2022-03-13_20:23:13,m0ng0n,m0ng0n,!wordcount m0ng0n chat
2022-03-13_20:23:13,m0ng0n,streamelements,m0ng0n has said chat 6 times!
2022-03-13_20:23:22,m0ng0n,m0ng0n,!wordcount m0ng0n chat
2022-03-13_20:23:22,m0ng0n,streamelements,m0ng0n has said chat 8 times!
2022-03-22_00:21:30,m0ng0n,m0ng0n,test
2022-03-22_00:21:43,m0ng0n,m0ng0n,test
2022-03-22_00:21:43,m0ng0n,m0ng0n,test
2022-03-22_00:21:44,m0ng0n,m0ng0n,test
2022-03-22_00:21:44,m0ng0n,m0ng0n,test
2022-03-22_00:21:44,m0ng0n,m0ng0n,test
2022-03-22_00:21:45,m0ng0n,m0ng0n,test
2022-03-22_00:21:45,m0ng0n,m0ng0n,test
2022-03-22_00:21:45,m0ng0n,m0ng0n,"test"
2022-03-22_00:21:46,m0ng0n,m0ng0n,test
2022-03-22_00:21:46,m0ng0n,m0ng0n,test
2022-03-22_00:22:06,m0ng0n,m0ng0n,!wordcount m0ng0n test
2022-03-22_00:22:06,m0ng0n,streamelements,m0ng0n has said test 14 times!
2022-03-22_00:22:09,m0ng0n,m0ng0n,test
2022-03-22_00:22:18,m0ng0n,m0ng0n,!wordcount m0ng0n test
2022-03-22_00:22:18,m0ng0n,streamelements,m0ng0n has said test 17 times!
2022-03-22_00:27:21,m0ng0n,m0ng0n,tewst
2022-03-22_00:27:22,m0ng0n,m0ng0n,etsdt
2022-03-22_00:27:24,m0ng0n,m0ng0n,test
2022-03-22_00:27:28,m0ng0n,m0ng0n,d
2022-03-22_00:27:29,m0ng0n,m0ng0n,d
2022-03-22_00:27:29,m0ng0n,m0ng0n,d
2022-03-22_00:27:29,m0ng0n,m0ng0n,d
2022-03-22_00:27:29,m0ng0n,m0ng0n,d
2022-03-22_00:27:29,m0ng0n,m0ng0n,d
2022-03-22_00:27:30,m0ng0n,m0ng0n,d
2022-03-22_00:27:30,m0ng0n,m0ng0n,d
2022-03-22_00:27:30,m0ng0n,m0ng0n,d
2022-03-22_00:27:31,m0ng0n,m0ng0n,dd
2022-03-22_00:27:32,m0ng0n,m0ng0n,"d"
2022-03-22_00:27:32,m0ng0n,m0ng0n,"d"
2022-03-22_00:27:32,m0ng0n,m0ng0n,d
2022-03-22_00:27:36,m0ng0n,m0ng0n,d
2022-03-22_00:27:36,m0ng0n,m0ng0n,d
2022-03-22_00:27:36,m0ng0n,m0ng0n,d
2022-03-22_00:27:36,m0ng0n,m0ng0n,d
2022-03-22_00:27:36,m0ng0n,m0ng0n,d
2022-03-22_00:27:37,m0ng0n,m0ng0n,d
2022-03-22_00:27:49,m0ng0n,m0ng0n,!wordcount m0ng0n d
2022-03-22_00:27:49,m0ng0n,streamelements,m0ng0n has said d 34 times!
2022-03-22_00:28:06,m0ng0n,m0ng0n,!mongoncommands
2022-03-22_00:28:06,m0ng0n,streamelements,"Mongon's custom commands:        !wordcount [username] [word], !amoguscount [username]."
2022-03-22_00:28:19,m0ng0n,m0ng0n,!amoguscount m0ng0n
2022-03-22_00:28:19,m0ng0n,streamelements,"m0ng0n has said ""amogus"" 1 times, ""sussy"" 8 times, and ""baka"" 0 times."
2022-03-22_00:28:23,m0ng0n,m0ng0n,baka
2022-03-22_00:28:32,m0ng0n,m0ng0n,!amoguscount m0ng0n
2022-03-22_00:28:32,m0ng0n,streamelements,"m0ng0n has said ""amogus"" 2 times, ""sussy"" 8 times, and ""baka"" 1 times."
2022-03-22_21:56:42,m0ng0n,m0ng0n,test
2022-03-22_21:56:46,m0ng0n,m0ng0n,b
2022-03-22_21:57:01,m0ng0n,m0ng0n,!wordcount m0ng0n b
2022-03-22_21:57:02,m0ng0n,streamelements,m0ng0n has said b 4 times!
2022-03-22_22:11:32,m0ng0n,m0ng0n,test
2022-03-22_23:03:24,m0ng0n,m0ng0n,test
2022-03-22_23:07:20,m0ng0n,m0ng0n,test
2022-03-22_23:12:41,m0ng0n,m0ng0n,test
2022-03-22_23:12:50,m0ng0n,m0ng0n,test
2022-03-22_23:19:28,m0ng0n,m0ng0n,test
2022-03-22_23:21:55,m0ng0n,m0ng0n,test
2022-03-22_23:27:50,m0ng0n,m0ng0n,test
